"date","symbol","exchange","price_usd","daily_open_usd","daily_high_usd","daily_low_usd","volume","change_percent","date_time_utc","pk_dummy","pkey"
"2020-02-12","ETH","Poloniex","265.90","236.74","267.00","236.74",44.24,12.32,"2020-02-12 00:00:00","2020-02-12 00","2020-02-12 00ETH"
"2020-02-11","ETH","Poloniex","236.74","222.99","239.15","218.20",51.59,6.16,"2020-02-11 00:00:00","2020-02-11 00","2020-02-11 00ETH"
"2020-02-10","ETH","Poloniex","222.99","228.66","229.40","216.25",35.3,-2.48,"2020-02-10 00:00:00","2020-02-10 00","2020-02-10 00ETH"
"2020-02-09","ETH","Poloniex","228.66","223.17","230.57","223.00",37.01,2.46,"2020-02-09 00:00:00","2020-02-09 00","2020-02-09 00ETH"
"2020-02-08","ETH","Poloniex","223.17","223.50","227.65","213.60",38.41,-0.15,"2020-02-08 00:00:00","2020-02-08 00","2020-02-08 00ETH"
"2020-02-07","ETH","Poloniex","223.50","213.19","224.76","213.17",48.85,4.83,"2020-02-07 00:00:00","2020-02-07 00","2020-02-07 00ETH"
"2020-02-06","ETH","Poloniex","213.19","203.72","216.30","201.12",78.94,4.63,"2020-02-06 00:00:00","2020-02-06 00","2020-02-06 00ETH"
"2020-02-05","ETH","Poloniex","203.75","188.94","207.53","188.23",67.98,7.84,"2020-02-05 00:00:00","2020-02-05 00","2020-02-05 00ETH"
"2020-02-04","ETH","Poloniex","188.94","189.82","191.57","184.72",60.68,-0.46,"2020-02-04 00:00:00","2020-02-04 00","2020-02-04 00ETH"
"2020-02-03","ETH","Poloniex","189.82","188.47","195.15","186.82",64.29,0.72,"2020-02-03 00:00:00","2020-02-03 00","2020-02-03 00ETH"
"2020-02-02","ETH","Poloniex","188.47","183.68","193.43","179.32",70.88,2.61,"2020-02-02 00:00:00","2020-02-02 00","2020-02-02 00ETH"
"2020-02-01","ETH","Poloniex","183.68","179.98","184.25","179.30",52.54,2.06,"2020-02-01 00:00:00","2020-02-01 00","2020-02-01 00ETH"
"2020-01-31","ETH","Poloniex","179.98","184.72","185.80","175.29",60.14,-2.57,"2020-01-31 00:00:00","2020-01-31 00","2020-01-31 00ETH"
"2020-01-30","ETH","Poloniex","184.72","173.84","186.95","170.90",69.58,6.26,"2020-01-30 00:00:00","2020-01-30 00","2020-01-30 00ETH"
"2020-01-29","ETH","Poloniex","173.84","175.66","178.43","173.39",57.84,-1.11,"2020-01-29 00:00:00","2020-01-29 00","2020-01-29 00ETH"
